('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mac Mints Pure Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Big Mac Live Resin Platinum Pure Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Sundae Premium Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple Mac Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple Mac Live Resin Platnum Pure Cartridge by Bodhi High - .5g', 'x-DEACTIVATED 1', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Mac Mints Pure Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Gas MAC Original Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple MAC Pure Live Resin Cartridge by Bodhi High - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Sunset Mac Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Live Resin Cartridge by Dabstract - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'MAC Distillate Cartridge by Mfused - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Apple MAC Live Resin Cartridge by Lifted Cannabis - 1g', 'Vape Cartridge', 'json_dis->db_cart')
('MAC x Trophy Wife LR Dabstract 1g AIO - (I)', 'Concentrate for Inhalation', 'Mac Mosa Distillate Cartridge by Crystal Clear - 1g', 'Vape Cartridge', 'json_dis->db_cart')
